MFile 1 2 480
MTrk
0 KeySig 0 major
0 SMPTE 96 0 0 0 0
0 Tempo 500000
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
10 On ch=1 n=f6 v=71
12 On ch=1 n=f3 v=33
60 On ch=1 n=f6 v=0
80 On ch=1 n=f3 v=0
94 On ch=1 n=g6 v=68
178 On ch=1 n=g6 v=0
182 On ch=1 n=f6 v=50
185 On ch=1 n=c5 v=36
187 On ch=1 n=a4 v=34
236 On ch=1 n=f6 v=0
247 On ch=1 n=c5 v=0
249 On ch=1 n=a4 v=0
256 On ch=1 n=f5 v=66
296 Par ch=1 c=64 v=0
304 On ch=1 n=f5 v=0
378 On ch=1 n=c6 v=76
398 On ch=1 n=c4 v=46
442 On ch=1 n=c6 v=0
458 On ch=1 n=d6 v=70
466 On ch=1 n=c4 v=0
480 Par ch=1 c=64 v=127
528 On ch=1 n=d6 v=0
540 On ch=1 n=c6 v=59
544 On ch=1 n=c5 v=39
545 On ch=1 n=a4 v=34
604 Par ch=1 c=64 v=0
606 On ch=1 n=c5 v=0
607 On ch=1 n=a4 v=0
622 On ch=1 n=c6 v=0
631 On ch=1 n=f5 v=52
687 On ch=1 n=f5 v=0
720 On ch=1 n=f4 v=81
724 On ch=1 n=d6 v=88
786 On ch=1 n=f4 v=0
820 On ch=1 n=e6 v=63
828 On ch=1 n=d6 v=0
834 Par ch=1 c=64 v=127
907 On ch=1 n=c5 v=36
910 On ch=1 n=d6 v=67
914 On ch=1 n=a4 v=16
952 On ch=1 n=e6 v=0
958 On ch=1 n=d6 v=0
958 Par ch=1 c=64 v=0
969 On ch=1 n=c5 v=0
976 On ch=1 n=a4 v=0
1000 On ch=1 n=f5 v=59
1062 On ch=1 n=f5 v=0
1066 On ch=1 n=c4 v=60
1072 On ch=1 n=e6 v=74
1128 On ch=1 n=c4 v=0
1152 On ch=1 n=f6 v=67
1164 On ch=1 n=e6 v=0
1202 Par ch=1 c=64 v=127
1210 On ch=1 n=c5 v=52
1226 On ch=1 n=a4 v=37
1226 On ch=1 n=e6 v=83
1249 On ch=1 n=f6 v=0
1264 On ch=1 n=c5 v=0
1280 Par ch=1 c=64 v=0
1288 On ch=1 n=a4 v=0
1318 On ch=1 n=f5 v=56
1324 On ch=1 n=e6 v=0
1364 On ch=1 n=f5 v=0
1396 On ch=1 n=f3 v=60
1404 On ch=1 n=f6 v=84
1446 On ch=1 n=f3 v=0
1484 On ch=1 n=g6 v=78
1494 On ch=1 n=f6 v=0
1510 Par ch=1 c=64 v=127
1556 Par ch=1 c=64 v=0
1562 On ch=1 n=f6 v=88
1578 On ch=1 n=a4 v=42
1582 On ch=1 n=c5 v=43
1604 On ch=1 n=g6 v=0
1612 On ch=1 n=f6 v=0
1636 On ch=1 n=a4 v=0
1640 On ch=1 n=c5 v=0
1648 On ch=1 n=f5 v=59
1690 On ch=1 n=f5 v=0
1740 On ch=1 n=c4 v=58
1740 On ch=1 n=g6 v=100
1796 On ch=1 n=c4 v=0
1830 On ch=1 n=a6 v=69
1834 On ch=1 n=g6 v=0
1896 On ch=1 n=g6 v=94
1916 On ch=1 n=c5 v=48
1928 On ch=1 n=a6 v=0
1932 On ch=1 n=a4 v=32
1936 On ch=1 n=g6 v=0
1974 On ch=1 n=c5 v=0
1992 On ch=1 n=a4 v=0
2002 On ch=1 n=f5 v=62
2046 On ch=1 n=f5 v=0
2108 On ch=1 n=a6 v=95
2118 On ch=1 n=f4 v=71
2180 On ch=1 n=f4 v=0
2296 On ch=1 n=c5 v=33
2308 On ch=1 n=a4 v=24
2340 Par ch=1 c=64 v=127
2368 On ch=1 n=c5 v=0
2396 On ch=1 n=a4 v=0
2458 On ch=1 n=c4 v=46
2468 On ch=1 n=a6 v=0
2514 On ch=1 n=c4 v=0
2666 On ch=1 n=c5 v=16
2672 On ch=1 n=a4 v=22
2722 On ch=1 n=c5 v=0
2736 On ch=1 n=a4 v=0
2800 Par ch=1 c=64 v=0
2840 On ch=1 n=f3 v=60
2844 On ch=1 n=c7 v=76
2890 On ch=1 n=f3 v=0
2904 On ch=1 n=c7 v=0
2922 On ch=1 n=d7 v=69
2986 Par ch=1 c=64 v=127
3002 On ch=1 n=d7 v=0
3005 On ch=1 n=c7 v=66
3034 On ch=1 n=c5 v=41
3050 On ch=1 n=a4 v=29
3062 Par ch=1 c=64 v=0
3094 On ch=1 n=f6 v=67
3098 On ch=1 n=c5 v=0
3106 On ch=1 n=c7 v=0
3116 On ch=1 n=a4 v=0
3142 On ch=1 n=f6 v=0
3186 On ch=1 n=d#4 v=63
3190 On ch=1 n=f7 v=91
3246 On ch=1 n=d#4 v=0
3282 On ch=1 n=g7 v=75
3298 On ch=1 n=f7 v=0
3308 Par ch=1 c=64 v=127
3362 On ch=1 n=f7 v=79
3374 On ch=1 n=c5 v=42
3382 On ch=1 n=g7 v=0
3386 On ch=1 n=a4 v=36
3400 Par ch=1 c=64 v=0
3408 On ch=1 n=f7 v=0
3434 On ch=1 n=c5 v=0
3444 On ch=1 n=a4 v=0
3444 On ch=1 n=f6 v=65
3498 On ch=1 n=f6 v=0
3536 On ch=1 n=d4 v=59
3536 On ch=1 n=b6 v=102
3586 On ch=1 n=d4 v=0
3592 On ch=1 n=b6 v=0
3622 On ch=1 n=c7 v=88
3630 Par ch=1 c=64 v=127
3706 On ch=1 n=b6 v=99
3708 On ch=1 n=f5 v=45
3742 On ch=1 n=b4 v=30
3745 On ch=1 n=c7 v=0
3760 On ch=1 n=f5 v=0
3770 Par ch=1 c=64 v=0
3794 On ch=1 n=f6 v=75
3806 On ch=1 n=b6 v=0
3806 On ch=1 n=b4 v=0
3840 On ch=1 n=f6 v=0
3880 On ch=1 n=c#4 v=70
3886 On ch=1 n=f7 v=92
3926 On ch=1 n=c#4 v=0
3952 Par ch=1 c=64 v=127
3974 On ch=1 n=g7 v=82
4000 On ch=1 n=f7 v=0
4054 On ch=1 n=f5 v=51
4054 On ch=1 n=f7 v=83
4057 On ch=1 n=a#4 v=51
4076 On ch=1 n=g7 v=0
4098 On ch=1 n=f5 v=0
4108 Par ch=1 c=64 v=0
4111 On ch=1 n=f7 v=0
4111 On ch=1 n=a#4 v=0
4148 On ch=1 n=f6 v=74
4204 On ch=1 n=f6 v=0
4246 On ch=1 n=c4 v=66
4254 On ch=1 n=c7 v=92
4290 On ch=1 n=c4 v=0
4352 Par ch=1 c=64 v=127
4358 On ch=1 n=d7 v=80
4360 On ch=1 n=c7 v=0
4432 On ch=1 n=c7 v=79
4440 On ch=1 n=e5 v=52
4444 On ch=1 n=c5 v=55
4478 On ch=1 n=d7 v=0
4490 On ch=1 n=e5 v=0
4498 On ch=1 n=c5 v=0
4528 On ch=1 n=c7 v=0
4531 On ch=1 n=g6 v=76
4576 On ch=1 n=g6 v=0
4584 Par ch=1 c=64 v=0
4632 On ch=1 n=g6 v=84
4638 On ch=1 n=e4 v=56
4734 On ch=1 n=a6 v=73
4736 On ch=1 n=e4 v=0
4746 On ch=1 n=g6 v=0
4782 Par ch=1 c=64 v=127
4806 On ch=1 n=g6 v=80
4826 On ch=1 n=e5 v=35
4826 On ch=1 n=c5 v=29
4840 On ch=1 n=a6 v=0
4884 On ch=1 n=g6 v=0
4892 On ch=1 n=e5 v=0
4900 On ch=1 n=c5 v=0
4904 On ch=1 n=c6 v=63
4952 On ch=1 n=c6 v=0
4998 Par ch=1 c=64 v=0
5010 On ch=1 n=c6 v=62
5044 On ch=1 n=g4 v=32
5248 On ch=1 n=c#6 v=46
5250 On ch=1 n=a#4 v=19
5254 On ch=1 n=e5 v=31
5260 On ch=1 n=c6 v=0
5374 On ch=1 n=e5 v=0
5436 On ch=1 n=a#4 v=0
5466 On ch=1 n=g4 v=0
5500 On ch=1 n=d6 v=49
5516 On ch=1 n=f#4 v=34
5536 On ch=1 n=c#6 v=0
5720 Par ch=1 c=64 v=127
5738 On ch=1 n=d6 v=0
5746 On ch=1 n=f#4 v=0
5768 On ch=1 n=a5 v=37
5770 On ch=1 n=a4 v=25
5776 On ch=1 n=d5 v=31
5832 On ch=1 n=a4 v=0
5838 On ch=1 n=d5 v=0
5994 On ch=1 n=a5 v=0
6028 Par ch=1 c=64 v=0
6052 On ch=1 n=g6 v=67
6060 On ch=1 n=g3 v=52
6106 On ch=1 n=g6 v=0
6106 On ch=1 n=g3 v=0
6150 On ch=1 n=a6 v=39
6182 Par ch=1 c=64 v=127
6208 On ch=1 n=g6 v=50
6218 On ch=1 n=a6 v=0
6260 On ch=1 n=d5 v=28
6262 On ch=1 n=a#4 v=34
6266 On ch=1 n=g6 v=0
6320 On ch=1 n=g5 v=55
6330 On ch=1 n=d5 v=0
6330 On ch=1 n=a#4 v=0
6350 Par ch=1 c=64 v=0
6386 On ch=1 n=g5 v=0
6414 On ch=1 n=d6 v=56
6418 On ch=1 n=a#3 v=62
6466 On ch=1 n=a#3 v=0
6469 On ch=1 n=d6 v=0
6478 On ch=1 n=e6 v=62
