MFile 1 3 480
MTrk
0 Tempo 267857
0 KeySig -4 major
0 TimeSig 4/4 24 8
127200 Tempo 375000
128160 Tempo 428571
128640 Tempo 500000
129120 Tempo 600000
130080 Tempo 750000
130080 Meta TrkEnd
TrkEnd
MTrk
0 SeqSpec 43 00 01 00
0 Meta TrkName "Right Hand"
0 Meta 0x21 00
0 PrCh ch=1 p=0
0 Par ch=1 c=7 v=127
0 Par ch=1 c=10 v=64
0 On ch=1 n=c6 v=60
400 On ch=1 n=c6 v=0
480 On ch=1 n=c6 v=60
635 On ch=1 n=c6 v=0
640 On ch=1 n=c#6 v=60
795 On ch=1 n=c#6 v=0
800 On ch=1 n=b5 v=60
955 On ch=1 n=b5 v=0
960 On ch=1 n=c6 v=60
1115 On ch=1 n=c6 v=0
1120 On ch=1 n=d#6 v=60
1275 On ch=1 n=d#6 v=0
1280 On ch=1 n=c#6 v=60
1435 On ch=1 n=c#6 v=0
1440 On ch=1 n=c6 v=60
1595 On ch=1 n=c6 v=0
1600 On ch=1 n=c#6 v=60
1755 On ch=1 n=c#6 v=0
1760 On ch=1 n=b5 v=60
1915 On ch=1 n=b5 v=0
1920 On ch=1 n=c6 v=60
2075 On ch=1 n=c6 v=0
2080 On ch=1 n=f#6 v=60
2235 On ch=1 n=f#6 v=0
2240 On ch=1 n=g6 v=60
2395 On ch=1 n=g6 v=0
2400 On ch=1 n=c6 v=60
2555 On ch=1 n=c6 v=0
2560 On ch=1 n=c#6 v=60
2715 On ch=1 n=c#6 v=0
2720 On ch=1 n=b5 v=60
2875 On ch=1 n=b5 v=0
2880 On ch=1 n=c6 v=60
3035 On ch=1 n=c6 v=0
3040 On ch=1 n=d#6 v=60
3195 On ch=1 n=d#6 v=0
3200 On ch=1 n=c#6 v=60
3355 On ch=1 n=c#6 v=0
3360 On ch=1 n=c6 v=60
3515 On ch=1 n=c6 v=0
3520 On ch=1 n=c#6 v=60
3675 On ch=1 n=c#6 v=0
3680 On ch=1 n=b5 v=60
3835 On ch=1 n=b5 v=0
3840 On ch=1 n=c6 v=60
3995 On ch=1 n=c6 v=0
4000 On ch=1 n=g#6 v=60
4155 On ch=1 n=g#6 v=0
4160 On ch=1 n=f6 v=60
4315 On ch=1 n=f6 v=0
4320 On ch=1 n=e6 v=75
4475 On ch=1 n=e6 v=0
4480 On ch=1 n=f6 v=75
4635 On ch=1 n=f6 v=0
4640 On ch=1 n=e6 v=75
4795 On ch=1 n=e6 v=0
4800 On ch=1 n=d#6 v=75
4955 On ch=1 n=d#6 v=0
4960 On ch=1 n=e6 v=75
5115 On ch=1 n=e6 v=0
5120 On ch=1 n=g6 v=75
5275 On ch=1 n=g6 v=0
5280 On ch=1 n=a#6 v=92
5435 On ch=1 n=a#6 v=0
5440 On ch=1 n=c7 v=92
5595 On ch=1 n=c7 v=0
5600 On ch=1 n=a#6 v=92
5755 On ch=1 n=a#6 v=0
5760 On ch=1 n=a6 v=92
5915 On ch=1 n=a6 v=0
5920 On ch=1 n=a#6 v=92
6075 On ch=1 n=a#6 v=0
6080 On ch=1 n=c#7 v=92
6235 On ch=1 n=c#7 v=0
6240 On ch=1 n=c7 v=92
6395 On ch=1 n=c7 v=0
6400 On ch=1 n=c#7 v=92
6555 On ch=1 n=c#7 v=0
6560 On ch=1 n=c7 v=92
6715 On ch=1 n=c7 v=0
6720 On ch=1 n=b6 v=92
6875 On ch=1 n=b6 v=0
6880 On ch=1 n=c7 v=92
7035 On ch=1 n=c7 v=0
7040 On ch=1 n=g6 v=92
7195 On ch=1 n=g6 v=0
7200 On ch=1 n=g#6 v=75
7355 On ch=1 n=g#6 v=0
7360 On ch=1 n=a#6 v=75
7515 On ch=1 n=a#6 v=0
7520 On ch=1 n=g#6 v=75
7675 On ch=1 n=g#6 v=0
7680 On ch=1 n=g6 v=75
7835 On ch=1 n=g6 v=0
7840 On ch=1 n=g#6 v=75
7995 On ch=1 n=g#6 v=0
8000 On ch=1 n=e6 v=75
8155 On ch=1 n=e6 v=0
8160 On ch=1 n=f6 v=75
8315 On ch=1 n=f6 v=0
8320 On ch=1 n=g6 v=75
8475 On ch=1 n=g6 v=0
8480 On ch=1 n=f6 v=75
8635 On ch=1 n=f6 v=0
8640 On ch=1 n=e6 v=75
8795 On ch=1 n=e6 v=0
8800 On ch=1 n=f6 v=75
8955 On ch=1 n=f6 v=0
8960 On ch=1 n=c6 v=75
9115 On ch=1 n=c6 v=0
9120 On ch=1 n=c#6 v=75
9275 On ch=1 n=c#6 v=0
9280 On ch=1 n=d#6 v=75
9435 On ch=1 n=d#6 v=0
9440 On ch=1 n=c#6 v=75
9595 On ch=1 n=c#6 v=0
9600 On ch=1 n=c6 v=75
9755 On ch=1 n=c6 v=0
9760 On ch=1 n=c#6 v=75
9915 On ch=1 n=c#6 v=0
9920 On ch=1 n=b5 v=75
10075 On ch=1 n=b5 v=0
10080 On ch=1 n=c6 v=60
10235 On ch=1 n=c6 v=0
10240 On ch=1 n=c#6 v=60
10395 On ch=1 n=c#6 v=0
10400 On ch=1 n=c6 v=60
10555 On ch=1 n=c6 v=0
10560 On ch=1 n=b5 v=60
10715 On ch=1 n=b5 v=0
10720 On ch=1 n=c6 v=60
10875 On ch=1 n=c6 v=0
10880 On ch=1 n=g5 v=60
11035 On ch=1 n=g5 v=0
11040 On ch=1 n=g#5 v=60
11195 On ch=1 n=g#5 v=0
11200 On ch=1 n=a#5 v=60
11355 On ch=1 n=a#5 v=0
11360 On ch=1 n=g#5 v=60
11515 On ch=1 n=g#5 v=0
11520 On ch=1 n=g5 v=60
11675 On ch=1 n=g5 v=0
11680 On ch=1 n=g#5 v=60
11835 On ch=1 n=g#5 v=0
11840 On ch=1 n=f5 v=60
11995 On ch=1 n=f5 v=0
12000 Par ch=1 c=64 v=127
12000 On ch=1 n=e5 v=60
12155 On ch=1 n=e5 v=0
12160 On ch=1 n=g5 v=60
12315 On ch=1 n=g5 v=0
12320 On ch=1 n=a#5 v=60
12475 On ch=1 n=a#5 v=0
12480 On ch=1 n=c#6 v=60
12635 On ch=1 n=c#6 v=0
12640 On ch=1 n=e6 v=60
12795 On ch=1 n=e6 v=0
12800 On ch=1 n=g6 v=60
12955 On ch=1 n=g6 v=0
12960 Par ch=1 c=64 v=0
12960 On ch=1 n=a#6 v=75
13115 On ch=1 n=a#6 v=0
13120 On ch=1 n=c#7 v=75
13275 On ch=1 n=c#7 v=0
13280 On ch=1 n=c7 v=75
13435 On ch=1 n=c7 v=0
13440 On ch=1 n=a#6 v=75
