MFile 1 2 480
MTrk
0 KeySig 0 major
0 SMPTE 96 0 0 0 0
0 Tempo 500000
0 TimeSig 4/4 24 8
0 Meta TrkEnd
TrkEnd
MTrk
0 Par ch=1 c=64 v=127
0 Par ch=1 c=64 v=0
0 Par ch=1 c=64 v=127
0 On ch=1 n=c#5 v=19
20 On ch=1 n=c#4 v=12
20 On ch=1 n=c#3 v=11
272 On ch=1 n=c#4 v=0
314 On ch=1 n=d#5 v=35
326 On ch=1 n=d#4 v=23
328 On ch=1 n=d#3 v=15
350 On ch=1 n=c#3 v=0
500 On ch=1 n=d#4 v=0
528 On ch=1 n=d#3 v=0
531 On ch=1 n=d#5 v=0
546 On ch=1 n=a#4 v=2
592 On ch=1 n=c#5 v=0
596 On ch=1 n=e5 v=45
602 On ch=1 n=e4 v=40
638 On ch=1 n=e3 v=31
662 Par ch=1 c=64 v=0
704 On ch=1 n=a#4 v=0
892 Par ch=1 c=64 v=127
938 On ch=1 n=e4 v=0
1040 On ch=1 n=e3 v=0
1086 On ch=1 n=d#5 v=47
1108 On ch=1 n=d#3 v=26
1114 On ch=1 n=d#4 v=25
1142 On ch=1 n=e5 v=0
1300 On ch=1 n=d#4 v=0
1310 On ch=1 n=d#3 v=0
1350 On ch=1 n=d#5 v=0
1358 On ch=1 n=e5 v=55
1360 On ch=1 n=e4 v=41
1378 On ch=1 n=e3 v=39
1630 Par ch=1 c=64 v=0
1646 On ch=1 n=d#5 v=48
1650 On ch=1 n=d#3 v=30
1660 On ch=1 n=e3 v=0
1666 On ch=1 n=e4 v=0
1682 On ch=1 n=d#4 v=22
1740 On ch=1 n=e5 v=0
1952 Par ch=1 c=64 v=127
2018 On ch=1 n=d#4 v=0
2232 On ch=1 n=d#3 v=0
2268 On ch=1 n=c#5 v=39
2286 On ch=1 n=c#4 v=28
2288 On ch=1 n=d#5 v=0
2310 On ch=1 n=c#3 v=25
2352 Par ch=1 c=64 v=0
2506 Par ch=1 c=64 v=127
2542 On ch=1 n=d#5 v=57
2548 On ch=1 n=d#3 v=44
2554 On ch=1 n=c#3 v=0
2598 On ch=1 n=c#4 v=0
2624 On ch=1 n=c#5 v=0
2786 On ch=1 n=d#5 v=0
2790 On ch=1 n=f#5 v=40
2804 On ch=1 n=d#3 v=0
2804 On ch=1 n=f#4 v=36
2816 On ch=1 n=f#3 v=32
2828 Par ch=1 c=64 v=0
2976 On ch=1 n=f#3 v=0
3014 Par ch=1 c=64 v=127
3076 On ch=1 n=e5 v=40
3090 On ch=1 n=e3 v=46
3100 On ch=1 n=f#4 v=0
3144 On ch=1 n=f#5 v=0
3254 On ch=1 n=e3 v=0
3308 On ch=1 n=d#5 v=48
3311 On ch=1 n=d#3 v=36
3314 On ch=1 n=e5 v=0
3326 On ch=1 n=d#4 v=32
3464 On ch=1 n=d#4 v=0
3500 On ch=1 n=d#3 v=0
3544 On ch=1 n=e5 v=54
3547 On ch=1 n=e3 v=59
3550 On ch=1 n=e4 v=48
3586 On ch=1 n=d#5 v=0
3624 On ch=1 n=e4 v=0
3776 On ch=1 n=e3 v=0
3804 On ch=1 n=d#3 v=31
3807 On ch=1 n=d#4 v=35
3807 On ch=1 n=d#5 v=50
3840 On ch=1 n=e5 v=0
3858 Par ch=1 c=64 v=0
4104 Par ch=1 c=64 v=127
4174 On ch=1 n=d#3 v=0
4186 On ch=1 n=d#4 v=0
4326 On ch=1 n=e5 v=54
4338 On ch=1 n=e3 v=46
4348 On ch=1 n=e4 v=25
4370 On ch=1 n=d#5 v=0
4408 On ch=1 n=e4 v=0
4460 On ch=1 n=e3 v=0
4564 On ch=1 n=f#4 v=64
4567 On ch=1 n=f#5 v=53
4577 On ch=1 n=f#3 v=46
4637 On ch=1 n=e5 v=0
4773 On ch=1 n=f#4 v=0
4813 On ch=1 n=g#5 v=63
4819 On ch=1 n=g#4 v=47
4823 On ch=1 n=f#3 v=0
4823 On ch=1 n=g#3 v=53
4869 Par ch=1 c=64 v=0
4891 On ch=1 n=f#5 v=0
5131 Par ch=1 c=64 v=127
5257 On ch=1 n=g#3 v=0
5269 On ch=1 n=g#4 v=0
5287 On ch=1 n=f#5 v=53
5295 On ch=1 n=f#3 v=44
5299 On ch=1 n=f#4 v=54
5359 On ch=1 n=g#5 v=0
5409 On ch=1 n=f#4 v=0
5523 On ch=1 n=g#4 v=52
5525 On ch=1 n=g#5 v=64
5551 On ch=1 n=g#3 v=48
5554 On ch=1 n=f#3 v=0
5709 On ch=1 n=g#4 v=0
5721 On ch=1 n=g#3 v=0
5751 On ch=1 n=a5 v=65
5754 On ch=1 n=f#5 v=0
5769 On ch=1 n=a4 v=52
5785 On ch=1 n=g#5 v=0
5788 On ch=1 n=a3 v=33
5821 Par ch=1 c=64 v=0
6053 Par ch=1 c=64 v=127
6071 On ch=1 n=a4 v=0
6163 On ch=1 n=a3 v=0
6195 On ch=1 n=g#5 v=67
6209 On ch=1 n=g#4 v=54
6215 On ch=1 n=g#3 v=57
6279 On ch=1 n=a5 v=0
6363 On ch=1 n=g#4 v=0
6373 On ch=1 n=g#3 v=0
6441 On ch=1 n=a5 v=64
6461 On ch=1 n=a3 v=40
6464 On ch=1 n=a4 v=27
6539 On ch=1 n=g#5 v=0
6567 On ch=1 n=a4 v=0
6689 On ch=1 n=a3 v=0
6719 On ch=1 n=b5 v=65
6722 On ch=1 n=b4 v=37
6732 On ch=1 n=b3 v=28
6742 Par ch=1 c=64 v=0
6794 On ch=1 n=a5 v=0
7048 Par ch=1 c=64 v=127
7084 On ch=1 n=b3 v=0
7212 On ch=1 n=g#5 v=37
7222 On ch=1 n=g#4 v=27
7254 On ch=1 n=g#3 v=40
7282 On ch=1 n=b5 v=0
7354 On ch=1 n=b4 v=0
7386 On ch=1 n=g#4 v=0
7408 On ch=1 n=g#3 v=0
7470 On ch=1 n=a5 v=37
7478 Par ch=1 c=64 v=0
7510 On ch=1 n=a3 v=23
7510 On ch=1 n=a4 v=25
7544 On ch=1 n=g#5 v=0
7584 On ch=1 n=a4 v=0
7602 Par ch=1 c=64 v=127
7694 On ch=1 n=a3 v=0
7772 On ch=1 n=f#4 v=29
7782 On ch=1 n=f#5 v=32
7796 On ch=1 n=f#3 v=17
7816 Par ch=1 c=64 v=0
7900 On ch=1 n=a5 v=0
8000 Par ch=1 c=64 v=127
8050 On ch=1 n=f#4 v=0
8068 On ch=1 n=f#3 v=0
8126 On ch=1 n=f#5 v=0
8370 On ch=1 n=g#5 v=34
8370 On ch=1 n=g#4 v=22
8396 On ch=1 n=e4 v=14
8398 On ch=1 n=e3 v=32
8402 On ch=1 n=c#4 v=10
8408 On ch=1 n=c#5 v=23
8416 Par ch=1 c=64 v=0
8600 Par ch=1 c=64 v=127
8634 On ch=1 n=e3 v=0
8650 On ch=1 n=e4 v=0
8654 On ch=1 n=g#3 v=37
8666 On ch=1 n=e5 v=53
8680 On ch=1 n=c#4 v=0
8714 On ch=1 n=g#5 v=0
8718 On ch=1 n=g#4 v=0
8762 On ch=1 n=c#5 v=0
8830 On ch=1 n=g#3 v=0
8842 On ch=1 n=e5 v=0
8982 On ch=1 n=d#5 v=37
8986 On ch=1 n=f#4 v=25
8988 On ch=1 n=b4 v=27
8996 On ch=1 n=f#3 v=24
9014 Par ch=1 c=64 v=0
9312 On ch=1 n=f#4 v=0
9322 Par ch=1 c=64 v=127
9588 On ch=1 n=f#3 v=0
9644 On ch=1 n=d#4 v=15
9650 On ch=1 n=d#3 v=14
9660 Par ch=1 c=64 v=0
9906 Par ch=1 c=64 v=127
9966 On ch=1 n=b4 v=0
9980 On ch=1 n=c#5 v=27
9994 On ch=1 n=a4 v=10
10002 On ch=1 n=d#5 v=0
10122 Par ch=1 c=64 v=0
10274 Par ch=1 c=64 v=127
10430 On ch=1 n=c#5 v=0
10460 On ch=1 n=a4 v=0
10466 On ch=1 n=g#3 v=16
10470 On ch=1 n=g#4 v=19
10486 On ch=1 n=d#4 v=0
10506 Par ch=1 c=64 v=0
10514 On ch=1 n=c5 v=11
10528 On ch=1 n=d#3 v=0
10874 Par ch=1 c=64 v=127
10938 On ch=1 n=c5 v=0
10958 On ch=1 n=g#3 v=0
11396 On ch=1 n=g#4 v=0
11396 On ch=1 n=c#5 v=25
11408 On ch=1 n=c#4 v=21
11648 On ch=1 n=c#4 v=0
11724 On ch=1 n=d#5 v=41
11784 On ch=1 n=d#4 v=18
11858 On ch=1 n=d#4 v=0
11864 On ch=1 n=c#5 v=0
12020 On ch=1 n=d#5 v=0
12088 On ch=1 n=e5 v=50
12110 On ch=1 n=e4 v=37
12138 On ch=1 n=c#3 v=21
12164 Par ch=1 c=64 v=0
12364 Par ch=1 c=64 v=127
12400 On ch=1 n=e4 v=0
12490 On ch=1 n=g#3 v=32
12520 On ch=1 n=c#3 v=0
12688 On ch=1 n=g#3 v=0
12752 On ch=1 n=e5 v=0
12766 On ch=1 n=d#5 v=54
12776 On ch=1 n=d#4 v=19
12911 On ch=1 n=d#4 v=0
